ICN_ID;SPECIES;SEX;SGL;C-C;IOB;POB;HSB;CCL;BL;GL;ZB;M-M;OZR;CBL;MB;HSH;UZR;UKL;CH
14990;Phylloderma stenops;M;3.311;0.438;1.048;1.063;1.466;2.789;2.597;1.474;1.675;1.13;1.082;2.904;1.473;1.466;1.132;1.908;0.834
21030;Phylloderma stenops;M;3.228;0.414;1.053;1.092;1.352;2.921;2.733;1.579;1.762;1.107;1.092;3.03;1.536;1.489;1.135;2.035;0.838
23733;Phylloderma stenops;M;3.311;0.441;1.098;1.038;1.427;2.93;2.787;1.66;1.791;1.215;1.164;3.06;1.585;1.417;1.192;2.056;0.995
24674;Phylloderma stenops;M;3.294;0.449;1.208;1.079;1.547;2.931;2.743;1.576;1.721;1.111;1.132;3.043;1.54;1.545;1.182;2.062;0.953
8387;Phyllostomus discolor;F;3.054;0.43;0.796;0.78;1.283;2.762;2.644;1.541;1.716;1.187;1.074;2.941;1.585;1.307;1.219;1.921;0.8
11528;Phyllostomus discolor;F;3.152;0.453;0.801;0.68;1.248;2.771;2.689;1.63;1.695;1.107;1.046;2.968;1.541;1.24;1.15;2.009;0.791
21092;Phyllostomus discolor;F;2.945;0.452;0.715;0.719;1.347;2.615;2.584;1.416;1.713;1.089;0.987;2.799;1.608;1.283;1.045;1.813;0.809
23208;Phyllostomus discolor;F;3.072;0.434;0.743;0.669;1.258;2.741;2.644;1.504;1.647;1.07;1.017;2.928;1.511;1.253;1.114;1.932;0.724
9607;Phyllostomus discolor;M;3.179;0.473;0.748;0.669;1.296;2.803;2.616;1.538;1.674;1.099;1.064;2.935;1.603;1.319;1.119;1.944;0.813
10106;Phyllostomus discolor;M;3.078;0.449;0.78;0.693;1.262;2.678;2.565;1.475;1.65;1.108;0.987;2.846;1.579;1.215;1.128;1.925;0.788
10242;Phyllostomus discolor;M;3.091;0.447;0.777;0.731;1.306;2.654;2.51;1.419;1.684;1.115;0.995;2.816;1.565;1.275;1.113;1.866;0.799
8057;Phyllostomus elongatus;F;2.999;0.463;0.704;0.547;1.136;2.554;2.355;1.315;1.776;1.208;1.114;2.662;1.497;1.242;1.276;1.93;0.851
18002;Phyllostomus elongatus;F;3.074;0.434;0.74;0.603;1.239;2.626;2.43;1.327;1.836;1.272;1.089;2.72;1.568;1.32;1.248;1.934;0.88
18424;Phyllostomus elongatus;F;3.082;0.461;0.786;0.566;1.185;2.648;2.47;1.363;1.793;1.25;1.122;2.745;1.537;1.321;1.243;1.886;0.855
23040;Phyllostomus elongatus;F;3.094;0.463;0.701;0.597;1.169;2.552;2.415;1.347;1.803;1.216;1.098;2.696;1.557;1.317;1.234;1.891;0.861
9691;Phyllostomus elongatus;M;3.069;0.45;0.751;0.562;1.149;2.589;2.366;1.317;1.726;1.176;1.09;2.669;1.552;1.325;1.24;1.898;0.888
18003;Phyllostomus elongatus;M;3.013;0.421;0.772;0.573;1.153;2.57;2.419;1.348;1.77;1.233;1.101;2.709;1.559;1.343;1.231;1.874;0.85
18455;Phyllostomus elongatus;M;3.1;0.442;0.728;0.585;1.17;2.619;2.476;1.388;1.85;1.248;1.093;2.761;1.613;1.332;1.277;1.961;0.914
9611;Phyllostomus hastatus;F;3.705;0.535;0.926;0.766;1.423;3.188;3.043;1.661;2.1;1.445;1.326;3.348;1.98;1.485;1.456;2.356;1.091
641;Phyllostomus hastatus;M;3.94;0.62;0.95;0.8;1.438;3.384;3.286;1.814;2.215;1.439;1.374;3.586;2.118;1.621;1.52;2.537;1.234
5920;Phyllostomus hastatus;M;3.954;0.543;0.891;0.727;1.442;3.471;3.322;1.792;2.31;1.535;1.418;3.643;2.225;1.55;1.57;2.526;1.157
8058;Phyllostomus hastatus;M;3.845;0.561;0.985;0.781;1.433;3.383;3.258;1.768;2.219;1.482;1.368;3.54;2.131;1.642;1.491;2.468;1.243
8059;Phyllostomus hastatus;M;3.79;0.665;0.9;0.771;1.45;3.359;3.168;1.712;2.225;1.498;1.382;3.477;2.087;1.664;1.45;2.409;1.203
10052;Phyllostomus hastatus;M;3.964;0.549;0.975;0.746;1.435;3.411;3.304;1.836;2.252;1.494;1.359;3.619;2.144;1.682;1.52;2.519;1.194
10249;Phyllostomus hastatus;M;3.913;0.614;0.944;0.729;1.509;3.439;3.306;1.776;2.294;1.523;1.306;3.6;2.146;1.752;1.566;2.559;1.289
