ICN_ID;SPECIES;SEX;SGL;C-C;IOB;POB;HSB;CCL;BL;GL;ZB;M-M;OZR;CBL;MB;HSH;UZR;UKL;CH
9470;Glossophaga soricina;F;2.113;0.221;0.438;0.468;0.863;1.915;1.84;1.218;0.995;0.594;0.76;2;0.912;0.845;0.765;1.36;0.423
9477;Glossophaga soricina;F;2.128;0.234;0.427;0.477;0.928;1.935;1.846;1.18;0.996;0.593;0.76;2.039;0.965;0.861;0.753;1.325;0.409
10271;Glossophaga soricina;F;2.024;0.221;0.412;0.451;0.868;1.834;1.762;1.112;0.979;0.547;0.708;1.921;0.918;0.837;0.725;1.281;0.402
10273;Glossophaga soricina;F;2.055;0.205;0.408;0.446;0.867;1.88;1.759;1.104;0.954;0.548;0.704;1.967;0.893;0.799;0.741;1.275;0.41
12047;Glossophaga soricina;F;2.063;0.223;0.418;0.481;0.876;1.898;1.818;1.162;0.972;0.558;0.741;2.086;0.899;0.89;0.752;1.308;0.39
12050;Glossophaga soricina;F;2.032;0.221;0.431;0.473;0.864;1.898;1.808;1.131;0.979;0.58;0.738;1.998;0.913;0.847;0.757;1.31;0.388
12051;Glossophaga soricina;F;1.998;0.224;0.415;0.49;0.846;1.854;1.804;1.11;0.938;0.546;0.71;1.951;0.889;0.855;0.713;1.272;0.422
12052;Glossophaga soricina;F;2.123;0.229;0.41;0.449;0.864;1.966;1.878;1.217;0.968;0.52;0.708;2.045;0.873;0.805;0.704;1.361;0.379
12053;Glossophaga soricina;F;2.066;0.236;0.426;0.496;0.887;1.916;1.812;1.151;1.003;0.596;0.748;1.993;0.905;0.839;0.76;1.297;0.41
23187;Glossophaga soricina;F;2.036;0.241;0.418;0.47;0.884;1.863;1.755;1.121;0.953;0.585;0.721;1.945;0.919;0.849;0.746;1.279;0.418
9471;Glossophaga soricina;M;2.031;0.212;0.418;0.46;0.858;1.855;1.77;1.105;0.983;0.56;0.713;1.952;0.923;0.843;0.729;1.288;0.442
9472;Glossophaga soricina;M;2.046;0.23;0.426;0.498;0.907;1.891;1.806;1.145;1.004;0.589;0.725;1.982;0.955;0.87;0.744;1.303;0.422
9473;Glossophaga soricina;M;2.013;0.206;0.409;0.459;0.889;1.861;1.775;1.093;0.967;0.56;0.722;1.96;0.937;0.858;0.725;1.263;0.427
9474;Glossophaga soricina;M;2.065;0.226;0.389;0.446;0.908;1.905;1.82;1.158;0.996;0.562;0.732;2.006;0.93;0.861;0.753;1.332;0.458
9475;Glossophaga soricina;M;2.059;0.239;0.4;0.474;0.887;1.894;1.788;1.13;0.98;0.559;0.722;1.971;0.917;0.87;0.735;1.294;0.439
9476;Glossophaga soricina;M;2.045;0.222;0.408;0.478;0.877;1.861;1.769;1.125;1.086;0.689;0.687;1.966;0.902;0.867;0.714;1.272;NA
9478;Glossophaga soricina;M;2.052;0.227;0.43;0.457;0.858;1.893;1.76;1.122;0.963;0.558;0.718;1.946;0.881;0.847;0.724;1.281;0.416
9614;Glossophaga soricina;M;2.005;0.22;0.385;0.462;0.876;1.835;1.69;1.075;0.928;0.536;0.698;1.898;0.911;0.852;0.715;1.255;0.42
9615;Glossophaga soricina;M;2.138;0.229;0.393;0.463;0.874;1.911;1.839;1.196;0.979;0.563;0.762;2.022;0.948;0.845;0.763;1.332;0.434
10272;Glossophaga soricina;M;2.042;0.22;0.394;0.457;0.868;1.803;1.696;1.075;0.964;0.57;0.658;1.903;0.899;0.853;0.724;1.279;0.464
12048;Glossophaga soricina;M;2.007;0.202;0.422;0.484;0.87;1.876;1.756;1.127;0.94;0.54;0.717;1.946;0.902;0.834;0.734;1.316;0.411
12055;Glossophaga soricina;M;2.041;0.217;0.403;0.465;0.886;1.852;1.749;1.095;0.954;0.544;0.693;1.951;0.883;0.875;0.721;1.259;0.389
13807;Glossophaga soricina;M;2.025;0.21;0.402;0.455;0.858;1.866;1.762;1.136;0.992;0.551;0.707;1.939;0.936;0.78;0.733;1.299;0.443
16215;Glossophaga soricina;M;2.012;0.225;0.41;0.472;0.905;1.846;1.742;1.083;0.954;0.57;0.685;1.933;0.923;0.853;0.724;1.252;0.435
18393;Glossophaga soricina;M;2.198;0.257;0.424;0.473;0.919;2.02;1.951;1.2;1.052;0.634;0.792;2.127;0.943;0.899;0.823;1.406;0.485
21235;Glossophaga soricina;M;2.281;0.263;0.473;0.499;0.961;2.081;1.998;1.243;1.12;0.647;0.837;2.179;0.99;0.889;0.851;1.454;0.499
23181;Glossophaga soricina;M;1.99;0.224;0.396;0.469;0.882;1.829;1.725;1.088;0.949;0.557;0.697;1.894;0.914;0.853;0.751;1.33;0.415
23182;Glossophaga soricina;M;2.011;0.223;0.427;0.488;0.859;1.826;1.707;1.065;0.92;0.551;0.71;1.894;0.915;0.83;0.736;1.288;0.392
23186;Glossophaga soricina;M;1.992;0.209;0.391;0.454;0.861;1.805;1.709;1.092;0.925;0.546;0.724;1.888;0.894;0.801;0.731;1.258;0.41
